Date,Marketplace,ASIN,SKU,Name,SalesOrganic,UnitsOrganic,Refunds,Old_Refund RefundCommission,Refund Commission,Refund Goodwill,Refund Principal,Value of returned items,Adjustment_FBAPerUnitFulfillmentFee,Commission,COMPENSATED_CLAWBACK,DigitalServicesFee,DigitalServicesFeeFBA,FBAInboundTransportationFee,FBAInboundTransportationProgramFee,FBALongTermStorageFee,FBAPerUnitFulfillmentFee,FBARemovalFee,FBAStorageFee,GiftwrapChargeback,MarketplaceFacilitatorVAT-Principal,MISSING_FROM_INBOUND,REVERSAL_REIMBURSEMENT,WAREHOUSE_DAMAGE,WAREHOUSE_LOST,EstimatedPayout,ProductCost Sales,ProductCost MissingFromInbound,GrossProfit,NetProfit,Margin,Sessions,Unit Session Percentage
1/08/2024,Amazon.co.uk,B00F89D2GM,CW-196157-BZ,Vibrant Multicolor Happy Birthday Prism Banner (3.6 meter) 1 Piece - Vibrant & Eye-Catching Party Decoration,87.78,22.0,,,,,,,,-16.06,,,,,,,-40.08,,,,,,,,,31.64,-16.06,,15.58,15.58,17.75,50.0,44.0
1/08/2024,Amazon.co.uk,B08XMV655X,CW-304003-BZ,"OakTree 3"" Badge 30th Birthday Sparkling Fizz Rose Gold Holographic",10.47,3.0,,,,,,,,-1.92,,,,,,,-4.83,,,,,,,,,3.72,-1.68,,2.04,2.04,19.48,9.0,33.33
1/08/2024,Amazon.co.uk,B01BL3F1J4,CW-170324-BZ,"OAKTREE UK 633124 6"" Jumbo Badge 11 Today Pink Holographic Dot",11.97,3.0,,,,,,,,-2.19,,,,,,,-4.83,,,,,,,,,4.95,-2.4,,2.55,2.55,21.3,1.0,300.0
1/08/2024,Amazon.co.uk,B08XMTN21V,CW-654372-BZ,"OakTree 3"" Badge 60th Birthday Sparkling Fizz Rose Gold Holographic",6.98,2.0,,,,,,,,-1.28,,,,,,,-3.22,,,,,,,,,2.48,-1.12,,1.36,1.36,19.48,5.0,40.0
1/08/2024,Amazon.co.uk,B09T75D87N,CW-23581-BZ,"Unique 23581 Harry Potter Large Plastic Bag Party-33 cm x 28 cm, Multicolour",4.49,1.0,,,,,,,,-0.83,,,,,,,-1.82,,,,,,,,,1.84,-0.7,,1.14,1.14,25.39,5.0,20.0
1/08/2024,Amazon.co.uk,B00XTV951W,LM-PROGAFF2425W-BZ,Pro-Gaff RS161WH24X25 24 mm x 25 yd Matt Cloth Tape,14.19,1.0,,,,,,,,-2.6,,,,,,,-3.28,,,,,,,,,8.31,-6.39,,1.92,1.92,13.53,5.0,20.0
1/08/2024,Amazon.co.uk,B01BL3FTZA,CW-170358-BZ,"OAKTREE UK 633483 6"" Jumbo Badge 16 Today Blue Holographic Cracked Ice",3.99,1.0,,,,,,,,-0.73,,,,,,,-1.61,,,,,,,,,1.65,-0.8,,0.85,0.85,21.3,3.0,33.33
1/08/2024,Amazon.co.uk,B002FOLFTO,MD-32-FY-047-BZ,Flymo FLY047 Single Line Spool and Line - Red,14.48,1.0,,,,,,,,-2.66,,,,,,,-3.54,,,,,,,,,8.28,-7.23,,1.05,1.05,7.25,5.0,20.0
1/08/2024,Amazon.co.uk,B079TCR341,GV-H156-BZ,Hemline Bobbin Storage Box,6.99,1.0,,,,,,,,-1.28,,,,,,,-2.83,,,,,,,,,2.88,-2.38,,0.5,0.5,7.15,6.0,16.67
1/08/2024,Amazon.co.uk,B006ZXZYMA,FBA15H0VJ5LV_unexpected_item_01,"Laser 2561 Grinding Paste 110gm, red",6.48,1.0,,,,,,,,-1.19,,,,,,,-3.11,,,,,,,6.54,,8.72,-1.56,-4.68,2.48,2.48,38.27,16.0,6.25
1/08/2024,Amazon.co.uk,B08XMX3715,CW-304037-BZ,"OakTree 3"" Badge 18th Birthday Sparkling Fizz Black Gold Holographic",3.49,1.0,,,,,,,,-0.64,,,,,,,-1.61,,,,,,,,,1.24,-0.56,,0.68,0.68,19.48,2.0,50.0
1/08/2024,Amazon.co.uk,B07K8P81QB,CS-625518-BZ,9ft Banner Sparkling Fizz 16th Birthday Black & Gold Holographic,3.99,1.0,,,,,,,,-0.73,,,,,,,-1.82,,,,,,,,,1.44,-0.67,,0.77,0.77,19.3,4.0,25.0
1/08/2024,Amazon.co.uk,B08HJLFH25,LW-04-DG1756-BZ,Cooksmart Double Oven Gloves Heat Resistant | British Designed Heat Resistant Oven Gloves | Modern Oven Mitt & Potholder for Home Cooking | Maximum Heat Protection Kitchen Oven Gloves - Bumble Bees,13.99,1.0,,,,,,,,-1.37,,,,,,,-3.54,,,,,,,,,9.08,-5.12,,3.96,3.96,28.31,14.0,7.14
1/08/2024,Amazon.co.uk,B08KWGDFMY,GV-N4371.4-BZ,Sew Thirsty Novelty Knitting Yarn Mug - Sewing Birthday Office Cup Drink Gift,14.49,1.0,,,,,,,,-2.66,,,,,,,-3.66,,,,,,,,,8.17,-6.14,,2.03,2.03,14.01,9.0,11.11
1/08/2024,Amazon.co.uk,B003IUPMUC,CW-194647-BZ,"Unique 33242 Solid Luncheon Napkins | Classic Gold Color Theme | 50ct, 50 Count (Pack of 1)",7.4,1.0,,,,,,,,-1.36,,,,,,,-2.81,,,,,,,,,3.23,-2.02,,1.21,1.21,16.35,15.0,6.67
1/08/2024,Amazon.co.uk,B0051OEEL6,CC-FG0001-BZ,L&S Engineers Chemico Grinding Paste 100g,,,,,,,,,,,,,,-2.81,,,,,,,,,,,,-2.81,,,-2.81,-2.81,,4.0,
2/08/2024,Amazon.co.uk,B00F89D2GM,CW-196157-BZ,Vibrant Multicolor Happy Birthday Prism Banner (3.6 meter) 1 Piece - Vibrant & Eye-Catching Party Decoration,107.73,27.0,,,,,,,,-19.71,,,,,,,-49.17,,,,,,,,,38.85,-19.71,,19.14,19.14,17.77,40.0,67.5
2/08/2024,Amazon.co.uk,B006ZXZYMA,FBA15H0VJ5LV_unexpected_item_01,"Laser 2561 Grinding Paste 110gm, red",19.44,3.0,,,,,,,,-3.57,,,,,,,-9.33,,,,,,,,,6.54,-4.68,,1.86,1.86,9.57,22.0,13.64
2/08/2024,Amazon.co.uk,B08HJLFH25,LW-04-DG1756-BZ,Cooksmart Double Oven Gloves Heat Resistant | British Designed Heat Resistant Oven Gloves | Modern Oven Mitt & Potholder for Home Cooking | Maximum Heat Protection Kitchen Oven Gloves - Bumble Bees,27.98,2.0,,,,,,,,-2.74,,,,,,,-7.08,,,,,,,,,18.16,-10.24,,7.92,7.92,28.31,12.0,16.67
2/08/2024,Amazon.co.uk,B008IFOK5A,BH-72490-BZ,"Assorted Tap Washers To Fit 3/8 Inch, 1/2 Inch, and 3/4 Inch Pack 10",3.65,1.0,,,,,,,,-0.58,,,,,,,-1.61,,,,,,,,,1.46,-0.75,,0.71,0.71,19.45,56.0,1.79
2/08/2024,Amazon.co.uk,B00XTV951W,LM-PROGAFF2425W-BZ,Pro-Gaff RS161WH24X25 24 mm x 25 yd Matt Cloth Tape,14.19,1.0,,,,,,,,-2.6,,,,,,,-3.28,,,,,,,,,8.31,-6.39,,1.92,1.92,13.53,1.0,100.0
2/08/2024,Amazon.co.uk,B07K8P81QB,CS-625518-BZ,9ft Banner Sparkling Fizz 16th Birthday Black & Gold Holographic,3.99,1.0,,,,,,,,-0.73,,,,,,,-1.82,,,,,,,,,1.44,-0.67,,0.77,0.77,19.3,8.0,12.5
2/08/2024,Amazon.co.uk,B00SEC7XTW,DF-13974E-BZ,Special Mum - Grave Vase (Rose Bowl) with Butterfly and Flowers - Memorial Garden Graveside,19.99,1.0,,,,,,,,-3.67,,,,,,,-4.32,,,,,,,,,12.0,-10.2,,1.8,1.8,9.0,26.0,3.85
2/08/2024,Amazon.co.uk,B003IUPMUC,CW-194647-BZ,"Unique 33242 Solid Luncheon Napkins | Classic Gold Color Theme | 50ct, 50 Count (Pack of 1)",7.4,1.0,,,,,,,,-1.36,,,,,,,-2.81,,,,,,,,,3.23,-2.02,,1.21,1.21,16.35,8.0,12.5
2/08/2024,Amazon.co.uk,B002LXDX1M,GR-HT1400-BZ,Impex HT1400 | Hi Tack Fabric/Textile Glue/Adhesive | 115ml,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,2.0,2.0,,87.0,
3/08/2024,Amazon.co.uk,B00F89D2GM,CW-196157-BZ,Vibrant Multicolor Happy Birthday Prism Banner (3.6 meter) 1 Piece - Vibrant & Eye-Catching Party Decoration,127.68,32.0,,,,,,,,-23.36,,,,,,,-58.31,,,,,,,,,46.01,-23.36,,22.65,22.65,17.74,45.0,71.11
3/08/2024,Amazon.co.uk,B005SFSTKA,DT-248-BZ,"DENTTABS Teeth Cleaning Tablets with Fluorid Pack of 125 The Full-fledged Alternative to Toothpaste, Mint Vegan Plastic-Free Without preservatives. in The Original denttabs compostable Bag",27.2,4.0,,,,,,,,-2.64,,,,,,,-7.28,,,,,,,,,17.28,-11.04,,6.24,6.24,22.94,16.0,25.0
3/08/2024,Amazon.co.uk,B006ZXZYMA,FBA15H0VJ5LV_unexpected_item_01,"Laser 2561 Grinding Paste 110gm, red",25.92,4.0,,,,,,,,-4.76,,,,,,,-12.44,,,,,,,,,8.72,-6.24,,2.48,2.48,9.57,24.0,16.67
3/08/2024,Amazon.co.uk,B08HJLFH25,LW-04-DG1756-BZ,Cooksmart Double Oven Gloves Heat Resistant | British Designed Heat Resistant Oven Gloves | Modern Oven Mitt & Potholder for Home Cooking | Maximum Heat Protection Kitchen Oven Gloves - Bumble Bees,41.97,3.0,,,,,,,,-4.11,,,,,,,-10.62,,,,,,,,,27.24,-15.36,,11.88,11.88,28.31,16.0,18.75
3/08/2024,Amazon.co.uk,B079TCR341,GV-H156-BZ,Hemline Bobbin Storage Box,13.98,2.0,,,,,,,,-2.56,,,,,,,-5.66,,,,,,,,,5.76,-4.76,,1.0,1.0,7.15,8.0,25.0
3/08/2024,Amazon.co.uk,B003LY660A,CW-000179-BZ,Anker Pack 10 Colour Glitter Sparkly Glue Pens Cards Scrapbook,7.98,2.0,,,,,,,,-1.46,,,,,,,-4.06,,,,,,,,,2.46,-1.4,,1.06,1.06,13.28,10.0,20.0
3/08/2024,Amazon.co.uk,B00CMQSS4U,GV-H273-BZ,Hemline STUFFING TOOL - FOR FILLING TEDDY BEARS ETC.,4.95,1.0,,,,,,,,-0.91,,,,,,,-1.61,,,,,,,,,2.43,-1.42,,1.01,1.01,20.4,6.0,16.67
3/08/2024,Amazon.co.uk,B009LM987E,MD-C00063841-BZ,Ariston Electra Hotpoint Indesit Slimline Dishwasher Cutlery Basket - C00063841,9.99,1.0,,,,,,,,-1.84,,,,,,,-3.13,,,,,,,,,5.02,-4.3,,0.72,0.72,7.21,4.0,25.0
3/08/2024,Amazon.co.uk,B008IFOK5A,BH-72490-BZ,"Assorted Tap Washers To Fit 3/8 Inch, 1/2 Inch, and 3/4 Inch Pack 10",3.65,1.0,,,,,,,,-0.58,,,,,,,-1.61,,,,,,,,,1.46,-0.75,,0.71,0.71,19.45,49.0,2.04
3/08/2024,Amazon.co.uk,B08XMWS9ZN,CW-304069-BZ,"OakTree 3"" Badge 40th Birthday Sparkling Fizz Black Gold Holographic",3.49,1.0,,,,,,,,-0.64,,,,,,,-1.61,,,,,,,,,1.24,-0.56,,0.68,0.68,19.48,7.0,14.29
4/08/2024,Amazon.co.uk,B005SFSTKA,DT-248-BZ,"DENTTABS Teeth Cleaning Tablets with Fluorid Pack of 125 The Full-fledged Alternative to Toothpaste, Mint Vegan Plastic-Free Without preservatives. in The Original denttabs compostable Bag",27.2,4.0,,,,,,,,-2.64,,,,,,,-7.28,,,,,,,,,17.28,-11.04,,6.24,6.24,22.94,28.0,14.29
4/08/2024,Amazon.co.uk,B07MXRYY54,CW-39519-BZ,"Powder Blue Solid Assorted Plastic Cutlery - Classy & Elegant Flatware Design - Perfect for Parties, Weddings & Events - 18ct",8.98,2.0,,,,,,,,-1.66,,,,,,,-5.66,,,,,,,,,1.66,-1.6,,0.06,0.06,0.67,69.0,2.9
4/08/2024,Amazon.co.uk,B08XMV655X,CW-304003-BZ,"OakTree 3"" Badge 30th Birthday Sparkling Fizz Rose Gold Holographic",6.98,2.0,,,,,,,,-1.28,,,,,,,-3.22,,,,,,,,,2.48,-1.12,,1.36,1.36,19.48,6.0,33.33
4/08/2024,Amazon.co.uk,B006ZXZYMA,FBA15H0VJ5LV_unexpected_item_01,"Laser 2561 Grinding Paste 110gm, red",12.96,2.0,,,,,,,,-2.38,,,,,,,-6.22,,,,,,,,,4.36,-3.12,,1.24,1.24,9.57,12.0,16.67
4/08/2024,Amazon.co.uk,B003LY660A,CW-000179-BZ,Anker Pack 10 Colour Glitter Sparkly Glue Pens Cards Scrapbook,7.98,2.0,,,,,,,,-1.46,,,,,,,-4.06,,,,,,,,,2.46,-1.4,,1.06,1.06,13.28,4.0,50.0
4/08/2024,Amazon.co.uk,B08HJLFH25,LW-04-DG1756-BZ,Cooksmart Double Oven Gloves Heat Resistant | British Designed Heat Resistant Oven Gloves | Modern Oven Mitt & Potholder for Home Cooking | Maximum Heat Protection Kitchen Oven Gloves - Bumble Bees,27.98,2.0,,,,,,,,-2.74,,,,,,,-7.08,,,,,,,,,18.16,-10.24,,7.92,7.92,28.31,18.0,11.11
4/08/2024,Amazon.co.uk,B002FOLFTO,MD-32-FY-047-BZ,Flymo FLY047 Single Line Spool and Line - Red,14.48,1.0,,,,,,,,-2.66,,,,,,,-3.54,,,,,,,,,8.28,-7.23,,1.05,1.05,7.25,5.0,20.0
4/08/2024,Amazon.co.uk,B01HOSF34S,GV-N9116-BZ,Stitch Garden Magnetic Board A4 with Ruler and 3 Magnet Strips by Stitch Garden,9.76,1.0,,,,,,,,-1.79,,,,,,,-2.2,,,,,,,,,5.77,-4.7,,1.07,1.07,10.96,13.0,7.69
4/08/2024,Amazon.co.uk,B0032EG140,BZ-H4160-GV,Hemline H4160 | Fabric Covered Tailor's Pressing Ham,14.99,1.0,,,,,,,,-2.75,,,,,,,-3.66,,,,,,,,,8.58,-7.28,,1.3,1.3,8.67,5.0,20.0
4/08/2024,Amazon.co.uk,B00F89D2GM,CW-196157-BZ,Vibrant Multicolor Happy Birthday Prism Banner (3.6 meter) 1 Piece - Vibrant & Eye-Catching Party Decoration,3.99,1.0,,,,,,,,-0.73,,,,,,,-1.82,,,,,,,,,1.44,-0.73,,0.71,0.71,17.79,43.0,2.33
4/08/2024,Amazon.co.uk,B0011451F8,GV-CL490\NV-BZ,"clover Hera Marker, 1, White",6.0,1.0,,,,,,,,-1.1,,,,,,,-1.61,,,,,,,,,3.29,-2.97,,0.32,0.32,5.33,11.0,9.09
4/08/2024,Amazon.co.uk,B003IUPMUC,CW-194647-BZ,"Unique 33242 Solid Luncheon Napkins | Classic Gold Color Theme | 50ct, 50 Count (Pack of 1)",7.4,1.0,,,,,,,,-1.36,,,,,,,-2.81,,,,,,,,,3.23,-2.02,,1.21,1.21,16.35,8.0,12.5
4/08/2024,Amazon.co.uk,B01MR3DKI4,CRL-EB1701-BZ,CRL PROFESSIONAL GLASS & MIRROR CLEANER EB1701 600ML CRL LAURENCE,7.99,1.0,,,,,,,,-0.78,,,,,,,-3.23,,,,,,,,,3.98,-2.46,,1.52,1.52,19.02,12.0,8.33
5/08/2024,Amazon.co.uk,B003IUPMUC,CW-194647-BZ,"Unique 33242 Solid Luncheon Napkins | Classic Gold Color Theme | 50ct, 50 Count (Pack of 1)",37.0,5.0,,,,,,,,-6.79,,,,,,,-14.05,,,,,,,,,16.16,-10.1,,6.06,6.06,16.38,11.0,45.45
5/08/2024,Amazon.co.uk,B008IFOK5A,BH-72490-BZ,"Assorted Tap Washers To Fit 3/8 Inch, 1/2 Inch, and 3/4 Inch Pack 10",10.35,3.0,,,,,,,,-1.65,,,,,,,-4.83,,,,,,,,,3.87,-2.25,,1.62,1.62,15.65,46.0,6.52
5/08/2024,Amazon.co.uk,B005SFSTKA,DT-248-BZ,"DENTTABS Teeth Cleaning Tablets with Fluorid Pack of 125 The Full-fledged Alternative to Toothpaste, Mint Vegan Plastic-Free Without preservatives. in The Original denttabs compostable Bag",20.4,3.0,,,,,,,,-1.98,,,,,,,-5.46,,,,,,,,,12.96,-8.28,,4.68,4.68,22.94,23.0,13.04
5/08/2024,Amazon.co.uk,B08HJLFH25,LW-04-DG1756-BZ,Cooksmart Double Oven Gloves Heat Resistant | British Designed Heat Resistant Oven Gloves | Modern Oven Mitt & Potholder for Home Cooking | Maximum Heat Protection Kitchen Oven Gloves - Bumble Bees,42.97,3.0,,,,,,,,-4.2,,,,,,,-10.62,,,,,,,,,28.15,-15.36,,12.79,12.79,29.76,14.0,21.43
5/08/2024,Amazon.co.uk,B00F89D2GM,CW-196157-BZ,Vibrant Multicolor Happy Birthday Prism Banner (3.6 meter) 1 Piece - Vibrant & Eye-Catching Party Decoration,7.8,2.0,,,,,,,,-1.44,,,,,,,-3.64,,,,,,,,,2.72,-1.46,,1.26,1.26,16.15,57.0,3.51
5/08/2024,Amazon.co.uk,B003LY660A,CW-000179-BZ,Anker Pack 10 Colour Glitter Sparkly Glue Pens Cards Scrapbook,7.98,2.0,,,,,,,,-1.46,,,,,,,-4.06,,,,,,,,,2.46,-1.4,,1.06,1.06,13.28,16.0,12.5
5/08/2024,Amazon.co.uk,B07MXRYY54,CW-39519-BZ,"Powder Blue Solid Assorted Plastic Cutlery - Classy & Elegant Flatware Design - Perfect for Parties, Weddings & Events - 18ct",4.49,1.0,,,,,,,,-0.83,,,,,,,-2.83,,,,,,,,,0.83,-0.8,,0.03,0.03,0.67,43.0,2.33
5/08/2024,Amazon.co.uk,B00CMQSS4U,GV-H273-BZ,Hemline STUFFING TOOL - FOR FILLING TEDDY BEARS ETC.,4.95,1.0,,,,,,,,-0.91,,,,,,,-1.61,,,,,,,,,2.43,-1.42,,1.01,1.01,20.4,11.0,9.09
5/08/2024,Amazon.co.uk,B07ZJL2BYN,LM-LEMPVC19-BZ,Le Mark PINK PVC Electrical Tape 33m x 19mm,4.49,1.0,,,,,,,,-0.83,,,,,,,-2.03,,,,,,,,,1.63,-0.98,,0.65,0.65,14.48,25.0,4.0
5/08/2024,Amazon.co.uk,B01BL3F1J4,CW-170324-BZ,"OAKTREE UK 633124 6"" Jumbo Badge 11 Today Pink Holographic Dot",3.8,1.0,,,,,,,,-0.7,,,,,,,-1.61,,,,,,,,,1.49,-0.8,,0.69,0.69,18.16,3.0,33.33
6/08/2024,Amazon.co.uk,B00F89D2GM,CW-196157-BZ,Vibrant Multicolor Happy Birthday Prism Banner (3.6 meter) 1 Piece - Vibrant & Eye-Catching Party Decoration,58.5,15.0,,,,,,,,-10.8,,,,,,,-27.32,,,,,,,,,20.38,-10.95,,9.43,9.43,16.12,56.0,26.79
6/08/2024,Amazon.co.uk,B002FOLFTO,MD-32-FY-047-BZ,Flymo FLY047 Single Line Spool and Line - Red,57.92,4.0,,,,,,,,-10.65,,,,,,,-14.16,,,,,,,,,33.11,-28.92,,4.19,4.19,7.23,5.0,80.0
6/08/2024,Amazon.co.uk,B07MXRYY54,CW-39519-BZ,"Powder Blue Solid Assorted Plastic Cutlery - Classy & Elegant Flatware Design - Perfect for Parties, Weddings & Events - 18ct",8.98,2.0,,,,,,,,-1.66,,,,,,,-5.66,,,,,,,,,1.66,-1.6,,0.06,0.06,0.67,52.0,3.85
6/08/2024,Amazon.co.uk,B01B2Z8IM8,GV-CF027-BZ,Trimits Toy/Craft Safety Solid Black Eyes: 12mm - 6 Per Pack,7.98,2.0,,,,,,,,-1.46,,,,,,,-3.22,,,,,,,,,3.3,-1.52,,1.78,1.78,22.31,7.0,28.57
6/08/2024,Amazon.co.uk,B003LY660A,CW-000179-BZ,Anker Pack 10 Colour Glitter Sparkly Glue Pens Cards Scrapbook,7.98,2.0,,,,,,,,-1.46,,,,,,,-4.06,,,,,,,,,2.46,-1.4,,1.06,1.06,13.28,,
6/08/2024,Amazon.co.uk,B08XMV655X,CW-304003-BZ,"OakTree 3"" Badge 30th Birthday Sparkling Fizz Rose Gold Holographic",3.49,1.0,,,,,,,,-0.64,,,,,,,-1.61,,,,,,,,,1.24,-0.56,,0.68,0.68,19.48,11.0,9.09
6/08/2024,Amazon.co.uk,B005SFSTKA,DT-248-BZ,"DENTTABS Teeth Cleaning Tablets with Fluorid Pack of 125 The Full-fledged Alternative to Toothpaste, Mint Vegan Plastic-Free Without preservatives. in The Original denttabs compostable Bag",6.78,1.0,,,,,,,,-0.66,,,,,,,-1.82,,,,,,,,,4.3,-2.76,,1.54,1.54,22.71,24.0,4.17
6/08/2024,Amazon.co.uk,B00CJ9FQOA,CW-624740-BZ,"OakTree 624740"" Happy 13th Birthday Foil Holographic Banner, Blue, 9 ft",3.49,1.0,,,,,,,,-0.64,,,,,,,-1.82,,,,,,,,,1.03,-0.67,,0.36,0.36,10.32,8.0,12.5
6/08/2024,Amazon.co.uk,B00XTV951W,LM-PROGAFF2425W-BZ,Pro-Gaff RS161WH24X25 24 mm x 25 yd Matt Cloth Tape,14.0,1.0,,,,,,,,-2.57,,,,,,,-3.28,,,,,,,,,8.15,-6.39,,1.76,1.76,12.57,6.0,16.67
6/08/2024,Amazon.co.uk,B0011451F8,GV-CL490\NV-BZ,"clover Hera Marker, 1, White",6.0,1.0,,,,,,,,-1.1,,,,,,,-1.61,,,,,,,,,3.29,-2.97,,0.32,0.32,5.33,6.0,16.67
6/08/2024,Amazon.co.uk,B003IUPMUC,CW-194647-BZ,"Unique 33242 Solid Luncheon Napkins | Classic Gold Color Theme | 50ct, 50 Count (Pack of 1)",7.4,1.0,1.0,-0.28,1.36,,-7.4,,,-1.36,,,,,,,-2.81,,,,,,,,,-3.09,-2.02,,-5.11,-5.11,-69.05,19.0,5.26
6/08/2024,Amazon.co.uk,B00WIML2DM,MD- 125-DL-0298-BZ,Delonghi Nespresso En520 Milk Cover Assembly 7313222391 7313234991,,,,,,,,16.09,,,,,,,,,,,,,,,,,,,,,16.09,16.09,,2.0,
7/08/2024,Amazon.co.uk,B00F89D2GM,CW-196157-BZ,Vibrant Multicolor Happy Birthday Prism Banner (3.6 meter) 1 Piece - Vibrant & Eye-Catching Party Decoration,58.5,15.0,,,,,,,,-10.8,,,,,,,-27.32,,,,,,,,,20.38,-10.95,,9.43,9.43,16.12,59.0,25.42
7/08/2024,Amazon.co.uk,B003IUPMUC,CW-194647-BZ,"Unique 33242 Solid Luncheon Napkins | Classic Gold Color Theme | 50ct, 50 Count (Pack of 1)",44.4,6.0,,,,,,,,-8.13,,,,,,,-16.86,,,,,,,,,19.41,-12.12,,7.29,7.29,16.42,12.0,50.0
7/08/2024,Amazon.co.uk,B005SFSTKA,DT-248-BZ,"DENTTABS Teeth Cleaning Tablets with Fluorid Pack of 125 The Full-fledged Alternative to Toothpaste, Mint Vegan Plastic-Free Without preservatives. in The Original denttabs compostable Bag",13.56,2.0,,,,,,,,-1.32,,,,,,,-3.64,,,,,,,,,8.6,-5.52,,3.08,3.08,22.71,15.0,13.33
7/08/2024,Amazon.co.uk,B008IFOK5A,BH-72490-BZ,"Assorted Tap Washers To Fit 3/8 Inch, 1/2 Inch, and 3/4 Inch Pack 10",6.86,2.0,,,,,,,,-1.08,,,,,,,-3.22,,,,,,,,,2.56,-1.5,,1.06,1.06,15.45,30.0,6.67
7/08/2024,Amazon.co.uk,B00XTV951W,LM-PROGAFF2425W-BZ,Pro-Gaff RS161WH24X25 24 mm x 25 yd Matt Cloth Tape,14.0,1.0,,,,,,,,-2.57,,,,,,,-3.28,,,,,,,,,8.15,-6.39,,1.76,1.76,12.57,5.0,20.0
7/08/2024,Amazon.co.uk,B01HOSF34S,GV-N9116-BZ,Stitch Garden Magnetic Board A4 with Ruler and 3 Magnet Strips by Stitch Garden,9.76,1.0,,,,,,,,-1.79,,,,,,,-2.2,,,,,,,,,5.77,-4.7,,1.07,1.07,10.96,7.0,14.29
7/08/2024,Amazon.co.uk,B0011451F8,GV-CL490\NV-BZ,"clover Hera Marker, 1, White",6.0,1.0,,,,,,,,-1.1,,,,,,,-1.61,,,,,,,,,3.29,-2.97,,0.32,0.32,5.33,11.0,9.09
7/08/2024,Amazon.co.uk,B01BL3F1J4,CW-170324-BZ,"OAKTREE UK 633124 6"" Jumbo Badge 11 Today Pink Holographic Dot",3.8,1.0,,,,,,,,-0.7,,,,,,,-1.61,,,,,,,,,1.49,-0.8,,0.69,0.69,18.16,3.0,33.33
7/08/2024,Amazon.co.uk,B006ZXZYMA,FBA15H0VJ5LV_unexpected_item_01,"Laser 2561 Grinding Paste 110gm, red",,,1.0,-0.24,1.19,,-6.48,,,,,,,,,,,,,,,,,,,-5.53,,,-5.53,-5.53,,27.0,
7/08/2024,Amazon.co.uk,B07TY1JTX8,BZ-LP93923-LP,Busy Bees Glass Cutting Board by Lesser & Pavey,,,,,,,,,,,,,,-7.43,,,,,,,,,,,,-7.43,,,-7.43,-7.43,,,
7/08/2024,Amazon.co.uk,B07QFXMZTY,LP-93893-BZ,Teabag Tidy Rest for Used Tea Bags Pretty Water Colour Busy Bees Design by Jennifer Rose Gallery,,,,,,,,,,,,,,-4.82,,,,,,,,,,,,-4.82,,,-4.82,-4.82,,,
7/08/2024,Amazon.co.uk,B0BPJL8NKV,LP-49420-BZ,L & P Home & Gifts Lesser & Pavey White Glitter Pearl Seashell Colour Changing Mood Light (LP49420),,,,,,,,,,,,,,-3.72,,,,,,,,,,,,-3.72,,,-3.72,-3.72,,,
8/08/2024,Amazon.co.uk,B00F89D2GM,CW-196157-BZ,Vibrant Multicolor Happy Birthday Prism Banner (3.6 meter) 1 Piece - Vibrant & Eye-Catching Party Decoration,15.6,4.0,,,,,,,,-2.88,,,,,,,-7.29,,-2.33,,,,,,,3.1,-2.92,,0.18,0.18,1.15,50.0,8.0
8/08/2024,Amazon.co.uk,B003IUPMUC,CW-194647-BZ,"Unique 33242 Solid Luncheon Napkins | Classic Gold Color Theme | 50ct, 50 Count (Pack of 1)",29.6,4.0,,,,,,,,-5.43,,,,,,,-11.24,,-1.68,,,,,,,11.25,-8.08,,3.17,3.17,10.71,18.0,22.22
8/08/2024,Amazon.co.uk,B00XTV8VMQ,LM-PRO-GAFF24-BZ,Pro-Gaff RS127GN24X25 24 mm x 25 yd Fluorescent Matt Cloth Tape,27.98,2.0,,,,,,,,-5.14,,,,,,,-6.56,,,,,,,,,16.28,-13.36,,2.92,2.92,10.44,,
8/08/2024,Amazon.co.uk,B09T75D87N,CW-23581-BZ,"Unique 23581 Harry Potter Large Plastic Bag Party-33 cm x 28 cm, Multicolour",4.49,1.0,,,,,,,,-0.83,,,,,,,-1.82,,-0.38,,,,,,,1.46,-0.7,,0.76,0.76,16.93,5.0,20.0
8/08/2024,Amazon.co.uk,B00CMQSS4U,GV-H273-BZ,Hemline STUFFING TOOL - FOR FILLING TEDDY BEARS ETC.,4.95,1.0,,,,,,,,-0.91,,,,,,,-1.61,,,,,,,,,2.43,-1.42,,1.01,1.01,20.4,8.0,12.5
8/08/2024,Amazon.co.uk,B00XTV951W,LM-PROGAFF2425W-BZ,Pro-Gaff RS161WH24X25 24 mm x 25 yd Matt Cloth Tape,14.0,1.0,,,,,,,,-2.57,,,,,,,-3.28,,-0.82,,,,,,,7.33,-6.39,,0.94,0.94,6.71,1.0,100.0
8/08/2024,Amazon.co.uk,B005SFSTKA,DT-248-BZ,"DENTTABS Teeth Cleaning Tablets with Fluorid Pack of 125 The Full-fledged Alternative to Toothpaste, Mint Vegan Plastic-Free Without preservatives. in The Original denttabs compostable Bag",6.78,1.0,,,,,,,,-0.66,,,,,,,-1.82,,-3.43,,,,,,,0.87,-2.76,,-1.89,-1.89,-27.88,25.0,4.0
